siteID,AP19,JA19,JU19,OC19,AP20,JA20,JU20,OC20,AP21,JA21,JU21,OC21,AP22,JA22,JU22,OC22
FLW_WIDE,852,893,957,654,75,302,318,464,NA,22,NA,NA,NA,NA,NA,NA
FZS_WIDE,442,876,175,183,NA,527,1176,306,1166,504,530,220,322,115,112,387
GLP2_WIDE,NA,NA,NA,NA,6330,11303,6761,7255,5747,6081,8648,4927,NA,1139,NA,NA
JSC_WIDE,43398,23416,55382,65054,30778,37040,50508,46970,NA,10606,NA,NA,NA,NA,NA,NA
LMC_WIDE,43472,23499,55785,65189,30778,37040,50508,46991,33028,37768,55429,37520,33487,34033,38766,56569
LMR2_WIDE,118136,51226,136376,142699,40448,77032,67017,48811,43569,42417,94803,51823,58486,59800,74454,84140
MAR_WIDE,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRP_WIDE,47911,29427,49357,53028,23338,28003,33864,25354,17052,17646,24187,17162,NA,4590,NA,NA
RPL3_WIDE,1859,1246,813,1743,351,1128,116,1916,NA,290,NA,NA,NA,NA,NA,NA
RPW_WIDE,1848,3079,453,5413,1073,2345,1145,813,280,1936,639,1363,1442,26,1890,64
RVC_WIDE,60957,37180,63220,70088,35020,39532,48248,35255,23427,24676,32667,23043,26278,26817,26892,35997
SBP_WIDE,40305,21533,27917,50147,18267,34518,20383,22399,23257,21113,30465,25565,NA,5755,NA,NA
SLP_WIDE,74449,49427,76622,92955,47559,51383,65494,55756,33021,36969,47006,30893,28454,35991,34823,49549
SMP_WIDE,77,22,NA,NA,NA,NA,258,1126,NA,125,NA,NA,NA,NA,NA,NA
SSL2_WIDE,33384,23519,28324,32504,11581,20207,11264,14528,11939,11320,18289,11247,NA,2333,NA,NA
SSL3_WIDE,NA,NA,NA,NA,2693,2439,2919,2314,1668,1934,2912,2391,2148,2991,2531,4135
WBC_WIDE,1047139,656182,995271,1364818,432836,760460,612595,592807,468151,488701,672906,518019,501628,516639,542065,770553
WIDE-A08-GLP1_WIDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIN2_WIDE,11123,4812,13305,11308,3984,4976,10285,6486,3471,3816,11546,5574,NA,1248,NA,NA
