,fcity,city,site,long,lat,crs,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
63,"Chicago, IL",chil,D08-DAW0,-87.89377889,42.12577912,4326,0.081537889,0.105217382,0.068853374,0.264249507,0.118766206,0.160094345,0.327395991,0.248852392,0.078414272,0.131763237,0.060029737,0.188208694,0.078243131,0.143938664,0.337320752,0.195871693
64,"Chicago, IL",chil,D08-DAW2,-87.90145123,42.13530185,4326,0.077024398,0.107382634,0.055926208,0.26010595,0.109210541,0.136799767,0.176369389,0.245367389,0.083122896,0.128867042,0.104664786,0.178898393,0.106531971,0.138160103,0.340220896,0.192411898
65,"Chicago, IL",chil,D09-CLG0,-87.9176414,42.18765769,4326,0.068540059,0.125816579,0.031585502,0.266021605,0.1087012,0.144710136,0.15892981,0.254200839,0.0613595,0.150072014,0.215164241,0.195805176,0.121131889,0.162478398,0.343658483,0.204806843
66,"Chicago, IL",chil,D09-RYW1,-87.90419482,42.1775919,4326,0.063531371,0.132301714,0.035996335,0.311945645,0.105971247,0.115007087,0.074694701,0.288067098,0.107238101,0.145461191,0.240328125,0.201289634,0.177652847,0.161451528,0.4090533,0.211716568
67,"Chicago, IL",chil,D09-VTC1,-87.9292671,42.20377534,4326,0.066391334,0.100093289,0.024398204,0.242383741,0.105893436,0.153135841,0.218400284,0.233382457,0.078658659,0.130532483,0.200123111,0.179963971,0.095145474,0.13909279,0.320827137,0.19320198
68,"Chicago, IL",chil,D10-CAN0,-87.93847762,42.24007189,4326,0.049645409,0.099315413,0.016838216,0.219242569,0.060412956,0.074017412,0.201299308,0.207015595,0.083930983,0.103680255,0.131227767,0.1452571,0.084982747,0.109451129,0.287732842,0.163030484
69,"Chicago, IL",chil,D10-MAC1,-87.92753011,42.25476444,4326,0.063134265,0.127215663,0.026576871,0.29966225,0.111251253,0.03421345,0.410034639,0.278549217,0.102175089,0.142613265,0.066987026,0.199052622,0.11469509,0.157756827,0.404728928,0.21407465
70,"Chicago, IL",chil,D10-VHC1,-87.94735573,42.22265299,4326,0.119966891,0.1289901,0.019495415,0.237277418,0.077106937,0.117284641,0.084229142,0.221017238,0.021480659,0.156263447,0.17230335,0.201249657,0.086624066,0.168926942,0.2613158,0.204015896
71,"Chicago, IL",chil,J01-BBS1,-87.61051042,41.84834938,4326,0.048062329,0.043786082,0.085162004,0.068147651,0.002067319,0.028326753,0.049277125,0.059619769,-0.099965501,0.012424496,0.05538036,0.030839452,-0.046936875,0.046601474,0.090748067,0.008802089
72,"Chicago, IL",chil,J01-CLP1,-87.65219937,41.91328435,4326,0.045378132,0.031660498,0.12559751,0.101154233,0.046156836,0.049055959,0.07694089,0.092751427,0.067343356,0.048072514,0.101985221,0.07741946,0.041479411,0.048070843,0.118358868,0.07728037
73,"Chicago, IL",chil,J01-LMP1,-87.61053666,41.83717173,4326,0.065993246,0.022920878,0.137497185,0.131251191,0.050095992,0.092999153,0.013462552,0.118759219,-0.028569137,0.065427013,0.047959143,0.090727041,0.018814083,0.089589694,0.159802719,0.079994185
74,"Chicago, IL",chil,J01-NOR1,-87.60790591,41.86080165,4326,0.048574378,0.050604984,0.071834877,0.060752363,-0.007157753,0.026862068,0.049613509,0.051007524,-0.164105564,-0.000752066,0.073808909,0.021880952,-0.076206516,0.04746267,0.084984492,-0.004100293
75,"Chicago, IL",chil,J01-SEP1,-87.63898576,41.90142019,4326,0.065964789,0.029413791,0.122874616,0.102982296,0.04984366,0.064958436,0.114605013,0.091089974,0.066225381,0.056967501,0.074055566,0.076337714,0.059897803,0.058823064,0.120885998,0.077520142
76,"Chicago, IL",chil,J01-SKP1,-87.66100717,41.87989095,4326,0.038304878,0.030352922,0.114520988,0.0892976,0.04076395,0.054688845,0.046722124,0.080236242,0.049692392,0.049479469,0.055549846,0.066727371,0.049214408,0.050687647,0.109062369,0.067685038
77,"Chicago, IL",chil,J01-UIC1,-87.6460853,41.86897406,4326,0.044212275,0.04223042,0.109655113,0.0899288,0.047810674,0.05435029,0.045281026,0.081295376,0.023909619,0.05617412,0.056173396,0.071621974,0.033549267,0.05676946,0.104660296,0.070509945
78,"Chicago, IL",chil,R02-DPG1,-87.69969807,41.86036917,4326,0.071005831,0.035873765,0.174613576,0.172145116,0.08481753,0.116001779,0.003227878,0.154211172,0.0331183,0.104477523,0.063725195,0.142979554,0.055394464,0.113174525,0.193825731,0.137120258
