siteID,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
IOIO_A10-ACT1,0,0,NA,14,21,37,14,18,0,52,12,9,28,6,0,0
IOIO_A10-GIL1,0,0,NA,10,0,10,3,1,0,27,1,1,0,0,0,0
IOIO_A10-HHP1,0,0,NA,25,20,40,63,30,62,75,16,6,17,11,0,0
IOIO_A10-HPR1,0,0,NA,11,5,18,21,49,12,28,20,17,8,2,0,0
IOIO_A11-MNR1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
IOIO_A11-MNR2,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
IOIO_A11-MNR3,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMS_ALP,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_BAP,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_BGP,NA,NA,0,0,31,0,0,0,12,39,0,59,NA,NA,0,NA
JAMS_BOP,NA,NA,0,0,15,29,21,52,12,10,0,14,NA,NA,0,NA
JAMS_BRP,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_CHS,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_CLN,NA,NA,0,0,7,7,41,26,20,7,0,47,NA,NA,0,NA
JAMS_CON,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_CRN,NA,NA,0,0,0,0,0,0,2,0,0,9,NA,NA,0,NA
JAMS_FOP,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_FRP,NA,NA,6,0,0,0,1,1,0,0,0,0,NA,NA,0,NA
JAMS_GAS,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_GRC,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
JAMS_GRN,NA,NA,0,0,20,29,55,43,28,23,0,21,NA,NA,0,NA
JAMS_LAC1,NA,NA,0,0,35,20,51,46,20,15,0,6,NA,NA,0,NA
JAMS_LAC2,NA,NA,0,0,17,0,0,0,25,12,0,0,NA,NA,0,NA
JAMS_LAP,NA,NA,0,12,0,6,6,17,0,6,0,3,NA,NA,0,NA
JAMS_LEN,NA,NA,4,30,19,16,14,26,20,13,0,11,NA,NA,0,NA
JAMS_LGN,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA
